UN_Unit,Unit_Reference,Unit_Location,Type_Description,Road_Name,GISEasting,GISNorthing,Elexon_Lamp_Unit_Type
1330,LC332,First From Junction,Lamp Column,Friend Street,531645.4375,182955.4063,LED
6010,MC631,Opp Bonhill Street,Lamp Column,Tabernacle Street,532845.75,182162.3594,LED
6012,MC634,Near Epworth Street,Lamp Column,Tabernacle Street,532872.8416,182234.0007,LED
6014,MC636,Outside 58,Lamp Column,Tabernacle Street,532889,182280.0781,LED
6025,MC599,1st Col On West Side Of Pvemnt,Lamp Column,Finsbury Pavement,532786.125,181873.8125,LED
6027,MC601,O/s Office 125,Lamp Column,Finsbury Pavement,532783.5,181855.3125,LED
6031,MC604,O/s Finsbury Court,Lamp Column,Finsbury Pavement,532778.4331,181825.0072,LED
6038,MC614,1st L/c From Ropemaker St,Lamp Column,Finsbury Street,532688.25,181833.4531,LED
6040,MC612,2nd Col From Chiswell Street,Lamp Column,Finsbury Street,532702.25,181887.3438,LED
6061,MC608,O/s Nation Wide & By Bndary S,Lamp Column,Finsbury Pavement,532773.625,181788.6563,LED
6158,MC532,1st Wall Brkt From Bath Street,Lamp Column,Cayton Street,532510.2737,182695.3591,LED
6340,LC1155,Near Archway To St John Place,Lamp Column,St Johns Square,531706.125,182063.3594,CPO-TW
6344,LC1163,Os St Johns Hq,Lamp Column,St Johns Square,531684.5,182151.0781,CPO-TW
6346,LC1161,Near Jerusalem Passage,Lamp Column,St Johns Square,531657.2364,182157.611,CPO-TW
6348,LC1159,Os No 53,Lamp Column,St Johns Square,531630.8081,182139.7211,CPO-TW
6360,LC1182,1st From Britton Street,Lamp Column,Eagle Court,531712,181917,LED
6377,LC1149,Opp 5 Cowcross Street,Lamp Column,Peters Lane,531756.9375,181855.0156,LED
6387,MC790,Om 9-10 Charterhouse Build,Lamp Column,Charterhouse Bldgs,532005.5,182164.125,SON
6389,LC001,2nd From Rd,Lamp Column,Faulkners Alley,531633.3154,181859.8776,SON
6405,LC265,2nd Col From Clerkenwell Rd,Lamp Column,Clerkenwell Green,531519.875,182107.3281,SON
6617,LC047,Only One In Alley,Lamp Column,Passing Alley,531767.1875,182035.9063,SON
6799,MC131,O/s No. 109a,Lamp Column,Anchor Yard,532279.5,182372.2188,LED
7197,1,J/w Coldbath Square,Lamp Column,Bath Court,531151.4375,182229.5938,SON
7199,3,J/w Warner Street,Lamp Column,Bath Court,531156.3125,182197.9063,SON
7204,2,Second Lc In S/o No. 64 Upper Street,Lamp Column,Tetbury Place,531580.375,183593.3125,LED
7206,HC898,Wall Mounted J/w Almeida Street,Lamp Column,Almeida Passage,531537.375,183989.8438,SON
8604,FC195,Opp 67,Lamp Column,Blackstock Road,531690.375,186581.625,LED
8606,FC199,O/s 100,Lamp Column,Blackstock Road,531758.4375,186519.5469,LED
8607,FC200,O/s 115,Lamp Column,Blackstock Road,531785.75,186508.9688,LED
8608,FC201,O/s 125,Lamp Column,Blackstock Road,531804.5538,186487.0824,LED
8609,FC202,O/s 122,Lamp Column,Blackstock Road,531814.25,186463.7656,LED
8610,FC203,O/s 143,Lamp Column,Blackstock Road,531831.9375,186461.0469,LED
8611,FC204,O/s 130,Lamp Column,Blackstock Road,531834.1875,186436.9844,LED
8612,FC205,O/s 145,Lamp Column,Blackstock Road,531849.875,186441.0938,LED
8613,FC206,O/s 144,Lamp Column,Blackstock Road,531857.6875,186414.1406,LED
8614,FC207,O/s 165,Lamp Column,Blackstock Road,531882.75,186404.9375,LED
8615,FC208,O/s 173,Lamp Column,Blackstock Road,531895.4375,186391.1563,LED
8617,FC210,O/s 156,Lamp Column,Blackstock Road,531894.6875,186364.7813,LED
8618,FC211,O/s 179,Lamp Column,Blackstock Road,531905.8125,186356.6719,LED
8620,FC215,O/s 168,Lamp Column,Blackstock Road,531895.8125,186301.8438,LED
8621,HC479,O/s 200,Lamp Column,Balls Pond Road,532751.5,184825.6563,LED
8622,HC478,Opp 192,Lamp Column,Balls Pond Road,532769.0625,184807.1719,LED
8623,HC477,O/s 188,Lamp Column,Balls Pond Road,532791.875,184820.2031,LED
8624,HC476,O/s 233-241,Lamp Column,Balls Pond Road,532812.375,184802.375,LED
8625,HC812,Junc Of St Pauls Road,Lamp Column,Essex Road (area H North),532729.4375,184804.1719,SON
8626,4,Junc Of Dove Road,Lamp Column,Essex Road (area H North),532741.4375,184797.9375,LED
8627,HC810,Os Church,Lamp Column,Essex Road (area H North),532720.8125,184788.3906,LED
8628,HC809,Opp Church,Lamp Column,Essex Road (area H North),532730.25,184761.8125,LED
8629,HC805,Opp Mercers House,Lamp Column,Essex Road (area H North),532664.875,184667.7656,LED
8630,HC804,Junc Of Mitchison Road,Lamp Column,Essex Road (area H North),532660.875,184647.125,SON
8631,HC803,Os No 416,Lamp Column,Essex Road (area H North),532646.25,184643.6875,LED
8632,HC802,Os No 378,Lamp Column,Essex Road (area H North),532641.6875,184618.75,LED
8633,HC801,Opp No 370,Lamp Column,Essex Road (area H North),532617.625,184609.5,LED
8634,HC800,Junc Of Ockenon Road,Lamp Column,Essex Road (area H North),532611.5625,184581.2969,LED
8635,HC799,Opp No 360,Lamp Column,Essex Road (area H North),532584.6875,184569.2344,LED
8638,HC795,Opp Pub,Lamp Column,Essex Road (area H North),532534.3125,184507.4844,LED
8639,HC794,Opp Skomer Walk,Lamp Column,Essex Road (area H North),532534.5,184486.5938,LED
8640,HC793,Os No 332,Lamp Column,Essex Road (area H North),532518,184467.0625,LED
8642,HC791,Os Garage,Lamp Column,Essex Road (area H North),532485.875,184428.9063,LED
8645,HC788,Os Surgery,Lamp Column,Essex Road (area H North),532427.4375,184381.5156,LED
8647,HC787,Os No 302,Lamp Column,Essex Road (area H North),532421.6875,184355.8438,LED
8648,HC786,Opp Cedar Court,Lamp Column,Essex Road (area H North),532395.25,184346.6563,LED
8649,HC785,Os No 292,Lamp Column,Essex Road (area H North),532384.3125,184318.7031,LED
8650,HC784,Os No 290,Lamp Column,Essex Road (area H North),532368.0625,184304.2969,LED
8651,HC783,Opp Flats,Lamp Column,Essex Road (area H North),532341.4375,184300.3438,LED
8652,HC782,By Gras Area,Lamp Column,Essex Road (area H North),532332.5,184275.2656,LED
8653,HC781,Opp Grass Area,Lamp Column,Essex Road (area H North),532299.125,184269.0156,LED
8654,HC780,Opp No 250,Lamp Column,Essex Road (area H North),532288.8125,184241.3438,LED
8655,HC779,By Canonsbury Street,Lamp Column,Essex Road (area H North),532261.8125,184241.0469,LED
8656,HC778,By Post Office,Lamp Column,Essex Road (area H North),532255.125,184217.4375,LED
8657,HC777,Os No 228,Lamp Column,Essex Road (area H North),532231.5625,184198.9063,LED
8658,HC776,Os No 207,Lamp Column,Essex Road (area H North),532199.125,184188.6719,LED
8659,HC775,Opp Horsfield House,Lamp Column,Essex Road (area H North),532194.8125,184166.3438,LED
8660,HC774,Os Haslam House,Lamp Column,Essex Road (area H North),532165.5,184159.1094,LED
8661,HC773,Opp Haslam House,Lamp Column,Essex Road (area H North),532155.625,184139.8438,LED
8662,KC1288,Os No 196,Lamp Column,Essex Road (area K South),532140.0625,184124.1875,LED
8663,KC1287,Os Health Centre,Lamp Column,Essex Road (area K South),532117.4375,184110.2344,LED
8664,KC1286,Opp Health Centre,Lamp Column,Essex Road (area K South),532107.75,184080.3438,LED
8665,KC1285,Opp No164,Lamp Column,Essex Road (area K South),532083.9375,184076.0625,LED
8666,KC1284,Os No 156,Lamp Column,Essex Road (area K South),532071.75,184044.4375,LED
8667,KC1283,Os No 143,Lamp Column,Essex Road (area K South),532043.625,184035.5625,LED
8668,KC1282,Os No 144,Lamp Column,Essex Road (area K South),532037.25,184010.8438,LED
8669,KC1281,Os No 129,Lamp Column,Essex Road (area K South),532007.3125,183999.25,SON
8670,KC1280,Os No 128,Lamp Column,Essex Road (area K South),531999.25,183972.2031,LED
8671,KC1277,Os Pub,Lamp Column,Essex Road (area K South),531942.8125,183899.8281,LED
8672,KC1275,Os No 103,Lamp Column,Essex Road (area K South),531911.8125,183881.625,LED
8673,KC1274,By Dagmar Terrace,Lamp Column,Essex Road (area K South),531894.6875,183856.5625,LED
8674,KC1273,Os No 58,Lamp Column,Essex Road (area K South),531888.9375,183823.0938,LED
8675,KC1272,Os No 71,Lamp Column,Essex Road (area K South),531871.7306,183823.4584,LED
8676,KC1271,Os No 57,Lamp Column,Essex Road (area K South),531841.8125,183781.7188,LED
8677,KC1270,Opp No 46,Lamp Column,Essex Road (area K South),531833.8581,183770.3735,LED
8678,KC1269,Opp No 41,Lamp Column,Essex Road (area K South),531831.8125,183744.7188,LED
8679,KC1268,Opp Elliots Place,Lamp Column,Essex Road (area K South),531805.0625,183733.1875,LED
8680,HC904,Os No 26,Lamp Column,Essex Road (area K South),532452.486,184391.2851,SON
8681,KC1267,Opp No 16,Lamp Column,Essex Road (area K South),531775.1875,183693.6875,LED
8682,KC1266,Os No 12,Lamp Column,Essex Road (area K South),531758.875,183671.2031,LED
8684,KC1265,Opp St Peters Street,Lamp Column,Essex Road (area K South),531733.125,183649.7656,LED
8685,KC1264,Junc Of St Peters Street,Lamp Column,Essex Road (area K South),531732.5625,183633.4375,LED
8686,KC1263,Opp No 24,Lamp Column,Essex Road (area K South),531709.4375,183632.2031,LED
8687,KC1262,Os No 30,Lamp Column,Essex Road (area K South),531691.0625,183618.8281,LED
8688,KC1261,Opp No 34,Lamp Column,Essex Road (area K South),531670.3125,183603.6094,LED
8689,KC1258,Os No 39,Lamp Column,Essex Road (area K South),531625.0625,183554.2656,LED
8694,KC1059,O/S 4/6,Lamp Column,Collins Yard,531667.9375,183672.6875,LED
8696,KC1200,Opp 1-20 Salisbury House,Lamp Column,St Marys Path,531729.75,183839.2813,LED
8697,KC1199,Opp 1-20 Salisbury House,Lamp Column,St Marys Path,531751.25,183830.0313,LED
8698,KC851,O/s 16,Lamp Column,Haverstock Street,531945.625,183056.9531,LED
8699,KC850,O/s 24,Lamp Column,Haverstock Street,531951.375,183029.9063,LED
8701,KC110,Opp Union Chapel,Lamp Column,Compton Terrace,531634.5625,184583.6875,LED
8702,KC106,O/s 18,Lamp Column,Compton Terrace,531651.625,184567.1719,LED
8703,KC108,O/s 21/22,Lamp Column,Compton Terrace,531650.5625,184621.2813,LED
8704,KC111,Opp Union Chapel,Lamp Column,Compton Terrace,531634.375,184574.4844,LED
8706,KC1279,Junction Asteys Row,Lamp Column,Essex Road (area K South),531969.1875,183956.6719,SON
8707,KC700,J/w Asteys Row,Lamp Column,River Place,532019.125,184167.2656,LED
8708,KC821,O/s 6,Lamp Column,Dagmar Terrace,531844.25,183878.6563,LED
8709,KC820,O/s 3,Lamp Column,Dagmar Terrace,531861.1875,183871.4375,LED
8710,KC819,O/s 1,Lamp Column,Dagmar Terrace,531881.875,183860.4375,LED
8712,HC889,1st In Street,Lamp Column,Wall Street,532943.125,184722.0469,LED
8713,HC888,Opp 56,Lamp Column,Wall Street,532938.6618,184702.5987,LED
8714,HC887,Opp The Croft,Lamp Column,Wall Street,532931.875,184678.4219,LED
8715,HC886,O/s 2,Lamp Column,Wall Street,532921.6875,184674.0781,LED
8720,GC384,O/s 29/30,Lamp Column,Wallace Road,532410.375,185015.5781,LED
8721,GC385,Opp 29/30,Lamp Column,Wallace Road,532396.75,185018.3438,LED
8722,GC382,O/s 23,Lamp Column,Wallace Road,532387,184975.9531,LED
8723,GC383,O/s 37/38,Lamp Column,Wallace Road,532404.625,184992.4375,LED
8724,GC381,O/s 45,Lamp Column,Wallace Road,532395.625,184950.9063,LED
8725,GC380,O/s 4,Lamp Column,Wallace Road,532375.6875,184926.0156,LED
8726,GC377,O/s 1,Lamp Column,Newington Green Road,532740.5625,184836.875,LED
8727,GC376,O/s 3,Lamp Column,Newington Green Road,532743.6875,184842.9531,LED
8728,GC375,J/w Bingham Street,Lamp Column,Newington Green Road,532752.375,184866.5469,LED
8729,GC501,Side Of Pimms House,Lamp Column,Mildmay Avenue,532787.4429,184961.6477,LED
8730,GC695,Opp Grosvenor Ave,Lamp Column,Mildmay Grove (north),532734.75,185098.4375,LED
8731,GC694,Opp  5,Lamp Column,Mildmay Grove (north),532764.9375,185087.9844,LED
8732,GC693,Opp 15,Lamp Column,Mildmay Grove (north),532791.6875,185087.2031,LED
8733,GC692,Opp 25,Lamp Column,Mildmay Grove (north),532818.0671,185086.6281,LED
