OWNER,AREA,FULLSTREET,UNITTYPE,UNITNO,HEIGHT,EASTING,NORTHING
NCC,CAT,ST FAITHS ROAD,L,28,8,622963,312860
NCC,CAT,GEORGE HILL,L,2,8,623497,311671
NCC,CAT,OAK LANE,L,1,8,623131,311560
NCC,NOC,ST BENEDICTS STREET,S,S0271,3,622641,308785
NCC,CAT,OAK LANE,L,2,8,623131,311560
NCC,CAT,OAK LANE,L,3,8,623131,311560
NCC,CAT,OAK LANE,L,6,8,623131,311560
NCC,CAT,OAK LANE,L,7,8,623131,311560
NCC,CAT,OAK LANE,L,9,8,623131,311560
NCC,CAT,OAK LANE,L,10,8,623131,311560
NCC,CAT,OAK LANE,L,11,8,623131,311560
NCC,CAT,OAK LANE,L,12,8,623131,311560
NCC,CAT,OAK LANE,L,13,8,623131,311560
NCC,CAT,OAK LANE,L,14,8,623131,311560
NCC,CAT,EASTWOOD MEWS,L,1,6,623475,311454
NCC,CRM,MILL ROAD,L,3,6,622501,341156
NCC,BEL,BRAMBLE GARDENS,L,6,6,647849,302845
NCC,BEL,DASHWOOD CLOSE,L,7,6,647823,303096
NCC,BRD,BECCLES ROAD,L,72,10,650713,303711
NCC,CRM,HEARTWELL ROAD,L,1,6,622099,341146
NCC,BRD,TERN GARDENS,L,3,6,651188,304645
NCC,BRD,THE CLOSE,L,3,6,651327,304059
NCC,THE,NUNS BRIDGES ROAD,S,S0400,0,587132,282299
NCC,THE,STATION ROAD,S,S0406,0,586858,283478
NCC,THE,CANTERBURY WAY,S,S0413,0,586353,283551
NCC,THE,CANTERBURY WAY,S,S0414,0,586353,283551
NCC,THE,REDCASTLE ROAD,S,S0415,0,585702,283009
NCC,TUN,MANOR CLOSE,L,1,6,629683,322238
NCC,TUN,MANOR CLOSE,L,2,6,629683,322238
NCC,TUN,MANOR CLOSE,L,3,6,629683,322238
NCC,BLO,YARMOUTH ROAD,L,1,10,633462,309528
NCC,THE,REDCASTLE ROAD,S,S0416,0,585702,283009
NCC,THE,QUEENSWAY,S,S0417,0,586728,282246
NCC,THE,QUEENSWAY,S,S0418,0,586728,282246
NCC,THE,ICKNIELD WAY,S,S0419,3,586654,282574
NCC,THE,BURY ROAD,S,S0421,0,586745,281809
NCC,THE,WATER LANE,S,S0426,3,586760,283311
NCC,THE,ST JOHNS WAY,S,S0427,0,586018,282882
NCC,THE,STATION ROAD,S,S0428,0,586858,283478
NCC,CRM,MILL ROAD,L,4,6,622501,341156
NCC,CRM,MILL ROAD,L,5,6,622501,341156
NCC,CRM,MILL ROAD,L,6,6,622501,341156
NCC,CRM,MILL ROAD,L,7,6,622501,341156
NCC,CRM,MILL ROAD,L,8,6,622501,341156
NCC,CRM,MILL ROAD,L,9,5,622501,341156
NCC,CRM,MILL ROAD,L,10,6,622501,341156
NCC,NOW,GLEBE ROAD,L,7,5,621527,307865
NCC,NOW,GLEBE ROAD,L,9,5,621527,307865
NCC,NOW,GLEBE ROAD,L,10,5,621527,307865
NCC,NOW,GLEBE ROAD,L,11,5,621527,307865
NCC,NOW,GLEBE ROAD,L,12,5,621527,307865
NCC,NOW,GLEBE ROAD,L,13,5,621527,307865
NCC,CRM,MILL ROAD,L,12,6,622501,341156
NCC,CRM,MILL ROAD,L,13,6,622501,341156
NCC,CAI,COVENT GARDEN ROAD,L,4,6,651422,313359
NCC,CAI,COVENT GARDEN ROAD,L,5,6,651422,313359
NCC,CAI,COVENT GARDEN ROAD,L,6,6,651422,313359
NCC,CRM,MILL ROAD,L,14,6,622501,341156
NCC,CRM,MILL ROAD,L,15,6,622501,341156
NCC,CRM,MILL ROAD,L,16,6,622501,341156
NCC,CRM,MILL ROAD,L,18,6,622501,341156
NCC,CRM,MILL ROAD,L,20,6,622501,341156
NCC,NOW,COLLEGE ROAD,L,1,6,621488,308086
NCC,CRM,MILL ROAD,L,21,6,622501,341156
NCC,CRM,STATION ROAD,L,21,6,622703,341082
NCC,CAI,COVENT GARDEN ROAD,L,7,6,651422,313359
NCC,CAI,COVENT GARDEN ROAD,L,9,6,651422,313359
NCC,GRS,MANOR ROAD,L,8,6,594111,299407
NCC,WOO,FOOTPATH BETWEEN 17 AND 19 WIMPOLE DRIVE LEADING TO STODY DRIVE,L,6,6,565312,322402
NCC,WOO,WIMPOLE DRIVE,L,5,6,565343,322324
NCC,WOO,WIMPOLE DRIVE,L,4,6,565343,322324
NCC,WOO,WIMPOLE DRIVE,L,2,6,565343,322324
NCC,WOO,WIMPOLE DRIVE,L,3,6,565343,322324
NCC,THO,MALTHOUSE COURT,L,1,6,573939,343416
NCC,THO,MALTHOUSE COURT,L,3,6,573939,343416
NCC,KIN,CORBYN SHAW ROAD,L,1,6,565164,319970
NCC,WLN,PATCH MEADOW,L,2,6,628383,330836
NCC,COS,WOOD VIEW COURT,L,3,6,618253,310542
NCC,COS,WOOD VIEW COURT,L,4,6,618253,310542
NCC,YAN,NELSON ROAD SOUTH,L,1,8,652908,306744
NCC,NOE,WATLING ROAD,L,16,8,625709,310586
NCC,YAS,WESTERN ROAD,L,1,6,652118,303862
NCC,YAS,WESTERN ROAD,L,2,6,652118,303862
NCC,YAS,WESTERN ROAD,L,3,6,652118,303862
NCC,YAS,WESTERN ROAD,L,4,6,652118,303862
NCC,YAS,WESTERN ROAD,L,5,6,652118,303862
NCC,BAC,WALCOTT ROAD,L,33,8,635008,333398
NCC,BAC,WALCOTT ROAD,L,34,8,635008,333398
NCC,BAC,WALCOTT ROAD,L,35,8,635008,333398
NCC,NOE,BELLINGHAM COURT,L,1,6,623526,310277
NCC,YAN,NELSON ROAD SOUTH,L,2,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,3,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,4,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,5,8,652908,306744
NCC,TAV,BECKS FUR,L,3,5,617078,314935
NCC,CRM,RIDGEWAY,L,11,5,622300,340651
NCC,CRM,RIDGEWAY,L,12,5,622300,340651
NCC,CRM,RIDGEWAY,L,13,5,622300,340651
NCC,CRM,RIDGEWAY,L,14,5,622300,340651
NCC,CRM,RIDGEWAY,L,15,5,622300,340651
NCC,CRM,PRIOR BANK ORCHARD,L,1,6,,
NCC,CRM,PRIOR BANK ORCHARD,L,2,6,,
NCC,CRM,PRIOR BANK ORCHARD,L,3,5,,
NCC,ATT,KEELING WAY,L,1,6,603751,294274
NCC,ATT,KEELING WAY,L,2,6,603751,294274
NCC,ATT,KEELING WAY,L,3,6,603751,294274
NCC,ATT,KEELING WAY,L,5,6,603751,294274
NCC,ATT,KEELING WAY,L,6,6,603751,294274
NCC,ATT,KEELING WAY,L,9,6,603751,294274
NCC,ATT,KEELING WAY,L,7,6,603751,294274
NCC,ATT,KEELING WAY,L,8,6,603751,294274
NCC,YAS,WESTERN ROAD,L,6,6,652118,303862
NCC,NOC,ELM HILL,L,3,5,623211,308870
NCC,NOS,THE WALNUTS,L,4,5,621487,306594
NCC,TSA,YARMOUTH ROAD,L,5,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,6,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,8,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,9,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,10,10,626722,308509
NCC,YAN,NELSON ROAD SOUTH,L,6,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,7,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,8,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,9,8,652908,306744
NCC,YAN,NELSON ROAD SOUTH,L,10,8,652908,306744
NCC,TSA,YARMOUTH ROAD,L,11,10,626722,308509
NCC,THE,CHURCHILL ROAD,S,S0397,3,587748,283806
NCC,TSA,YARMOUTH ROAD,L,12,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,15,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,41,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,20,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,28,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,7,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,43,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,44,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,45,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,49,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,54,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,58,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,59,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,60,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,67,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,68,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,69,10,626722,308509
NCC,TSA,YARMOUTH ROAD,L,70,10,626722,308509
NCC,BRD,CLYDESDALE RISE,L,8,5,650774,305415
NCC,BLO,STOCKS LANE,L,16,10,633339,309345
NCC,BLO,DANESBOWER LANE,L,28,10,633707,309522
NCC,BLO,YARMOUTH ROAD,L,9,10,633462,309528
NCC,BRD,TURNER CLOSE,L,1,6,651205,305174
NCC,BRD,CONSTABLE DRIVE,L,1,6,651071,305229
NCC,BLO,YARMOUTH ROAD,L,15,10,633462,309528
NCC,BLO,YARMOUTH ROAD,L,18,10,633462,309528
NCC,BLO,YARMOUTH ROAD,L,25,10,633462,309528
NCC,DRA,TAVERHAM ROAD,L,2,10,617928,313583
NCC,FAK,SCULTHORPE ROAD,S,S0056,3,591435,330172
NCC,FAK,HIGHFIELD ROAD,S,S0143,3,591968,330159
NCC,THE,BRANDON ROAD,B,B0495,0,584593,283690
NCC,YAN,NELSON ROAD SOUTH,L,11,8,652908,306744
NCC,YAN,ALBERT SQUARE,L,1,8,652978,306763
NCC,YAN,ALBERT SQUARE,L,2,8,652978,306763
NCC,YAN,ALBERT SQUARE,L,3,8,652978,306763
NCC,YAN,ALBERT SQUARE,L,4,8,652978,306763
NCC,THE,CROXTON ROAD,Z,Z0005,0,587333,284243
NCC,YAN,ALBERT SQUARE,L,5,8,652978,306763
NCC,THE,CROXTON ROAD,S,S0469,3,587333,284243
NCC,CRM,STATION ROAD,L,20,6,622703,341082
NCC,CRM,STATION ROAD,L,18,6,622703,341082
NCC,CRM,STATION ROAD,L,19,6,622703,341082
NCC,CRM,STATION ROAD,L,17,6,622703,341082
NCC,CRM,STATION ROAD,L,16,6,622703,341082
NCC,CRM,STATION ROAD,L,12,6,622703,341082
NCC,CRM,STATION ROAD,L,11,6,622703,341082
NCC,FAK,HIGHFIELD ROAD,Z,Z0007,3,591968,330159
NCC,CRM,STATION ROAD,L,10,6,622703,341082
NCC,CRM,STATION ROAD,L,9,6,622703,341082
NCC,CRM,STATION ROAD,L,8,6,622703,341082
NCC,CRM,STATION ROAD,L,7,6,622703,341082
NCC,CRM,STATION ROAD,L,6,6,622703,341082
NCC,CRM,STATION ROAD,L,5,6,622703,341082
NCC,CRM,STATION ROAD,L,4,6,622703,341082
NCC,CRM,MILL ROAD,L,22,6,622501,341156
NCC,CRM,MILL ROAD,L,1,6,622501,341156
NCC,CRM,MILL ROAD,L,2,6,622501,341156
NCC,CRM,CARRINGTON ROAD,L,4,6,622889,341173
NCC,CRM,CARRINGTON ROAD,L,3,6,622889,341173
NCC,CRM,CARRINGTON ROAD,L,2,6,622889,341173
NCC,BRU,POSTWICK LANE,L,11,6,631522,308562
NCC,NOW,COLLEGE ROAD,L,2,6,621488,308086
NCC,KIN,BEVIS WAY,L,1,6,563646,321385
NCC,KIN,BEVIS WAY,L,2,6,563646,321385
NCC,KIN,BEVIS WAY,L,3,6,563646,321385
NCC,KIN,BEVIS WAY,L,4,6,563646,321385
NCC,KIN,BEVIS WAY,L,5,6,563646,321385
NCC,KIN,BEVIS WAY,L,6,6,563646,321385
NCC,KIN,BEVIS WAY,L,7,6,563646,321385
NCC,KIN,ADELAIDE AVENUE,L,1,5,563648,321291
NCC,KIN,ADELAIDE AVENUE,L,2,5,563648,321291
NCC,KIN,ADELAIDE AVENUE,L,3,5,563648,321291
NCC,KIN,ADELAIDE AVENUE,L,4,5,563648,321291
NCC,KIN,ACONITE ROAD,L,1,6,563492,321434
NCC,KIN,ACONITE ROAD,L,26,5,563492,321434
NCC,KIN,ACONITE ROAD,L,27,5,563492,321434
NCC,KIN,ACONITE ROAD,L,28,5,563492,321434
NCC,CRM,OVERSTRAND ROAD,L,7,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,41,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,40,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,39,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,38,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,37,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,36,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,35,8,622552,341513
NCC,KIN,ACONITE ROAD,L,29,5,563492,321434
NCC,KIN,ACONITE ROAD,L,30,5,563492,321434
NCC,KIN,ACONITE ROAD,L,2,6,563492,321434
NCC,KIN,ACONITE ROAD,L,3,6,563492,321434
NCC,KIN,ACONITE ROAD,L,4,6,563492,321434
NCC,KIN,ACONITE ROAD,L,5,6,563492,321434
NCC,KIN,ACONITE ROAD,L,6,6,563492,321434
NCC,KIN,ACONITE ROAD,L,7,6,563492,321434
NCC,KIN,ACONITE ROAD,L,8,6,563492,321434
NCC,KIN,ACONITE ROAD,L,9,6,563492,321434
NCC,CRM,OVERSTRAND ROAD,L,34,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,33,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,31,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,30,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,29,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,27,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,25,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,24,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,23,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,22,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,21,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,20,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,19,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,18,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,17,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,16,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,15,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,14,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,13,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,12,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,11,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,10,8,622552,341513
NCC,CRM,OVERSTRAND ROAD,L,6,8,622552,341513
NCC,CAT,SPIXWORTH ROAD,L,29,8,623477,312243
NCC,CAT,SPIXWORTH ROAD,L,27,8,623477,312243
NCC,CAT,SPIXWORTH ROAD,L,14,8,623477,312243
NCC,NOW,COLLEGE ROAD,L,3,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,4,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,5,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,6,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,7,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,8,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,9,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,10,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,11,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,12,6,621488,308086
NCC,YAN,CAMPERDOWN,L,1,8,652958,306856
NCC,YAN,CAMPERDOWN,L,2,8,652958,306856
NCC,YAN,CAMPERDOWN,L,3,8,652958,306856
NCC,YAN,CAMPERDOWN,L,4,8,652958,306856
NCC,NOW,GLOUCESTER STREET,L,3,5,622030,307802
NCC,NOS,FITZGERALD ROAD,L,2,6,623475,306257
NCC,NOS,FITZGERALD ROAD,L,3,6,623475,306257
NCC,NOW,GLOUCESTER STREET,L,4,5,622030,307802
NCC,NOW,THREE SCORE ROAD,L,6,8,617692,308480
NCC,NOW,COLLEGE ROAD,L,13,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,15,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,16,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,17,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,18,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,19,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,20,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,21,6,621488,308086
NCC,NOW,GLOUCESTER STREET,L,5,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,6,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,7,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,8,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,9,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,10,5,622030,307802
NCC,NOW,GLOUCESTER STREET,L,12,5,622030,307802
NCC,NOW,RUTLAND STREET,L,1,5,622028,307865
NCC,NOW,RUTLAND STREET,L,2,5,622028,307865
NCC,NOS,CARNOUSTIE,L,9,6,621308,306449
NCC,NOW,COLLEGE ROAD,L,22,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,23,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,24,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,25,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,26,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,27,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,28,6,621488,308086
NCC,NOW,RUTLAND STREET,L,3,5,622028,307865
NCC,NOW,COLLEGE ROAD,L,29,6,621488,308086
NCC,NOW,COLLEGE ROAD,L,30,6,621488,308086
NCC,ATT,KEELING WAY,L,4,6,603751,294274
NCC,KIN,QUEEN STREET,U,S1311,0,561663,319930
NCC,NOW,THREE SCORE ROAD,L,5,8,617692,308480
NCC,YAN,CROSSTEAD,L,8,6,652521,310040
NCC,NOW,BLADEWATER ROAD,L,1,8,617721,308495
NCC,YAN,CAMPERDOWN,L,5,8,652958,306856
NCC,YAN,CAMPERDOWN,L,5,8,652958,306856
NCC,YAN,CAMPERDOWN,L,6,8,652958,306856
NCC,YAN,CAMPERDOWN,L,6,8,652958,306856
NCC,TRO,TROWSE BYPASS,L,L0030,10,623993,306670
NCC,TRO,TROWSE BYPASS,L,L0030,10,623993,306670
NCC,ATT,KEELING WAY,L,10,6,603751,294274
NCC,ATT,KEELING WAY,L,11,6,603751,294274
NCC,LOD,FILBERT ROAD,L,3,6,635881,298867
NCC,YAS,WESTERN ROAD,L,7,6,652118,303862
NCC,YAS,WESTERN ROAD,L,8,6,652118,303862
NCC,YAS,WESTERN ROAD,L,9,6,652118,303862
NCC,YAS,WESTERN ROAD,L,10,6,652118,303862
NCC,YAS,WESTERN ROAD,L,11,6,652118,303862
NCC,YAS,WESTERN ROAD,L,12,6,652118,303862
NCC,YAS,EXETER ROAD,L,1,6,651975,303875
NCC,CRM,PRIOR BANK ORCHARD,L,4,6,,
NCC,NON,WHITEHOUSE COURT,L,6,3,,
NCC,YAN,KIMBERLEY TERRACE,L,1,8,653051,306783
NCC,YAN,KIMBERLEY TERRACE,L,2,8,653051,306783
NCC,YAN,KIMBERLEY TERRACE,L,3,8,653051,306783
NCC,YAN,KIMBERLEY TERRACE,L,4,8,653051,306783
NCC,LOD,BECK WAY,L,1,6,635942,298927
NCC,LOD,BECK WAY,L,2,6,635942,298927
NCC,ATT,BLENHEIM DRIVE,L,1,6,605368,294617
NCC,ATT,BLENHEIM DRIVE,L,2,6,605368,294617
NCC,YAN,MARLBOROUGH TERRACE,S,S0875,3,653068,307507
NCC,POR,BROOKS MEADOW,L,3,6,,
NCC,FAK,CLOVER WAY,L,1,6,,
NCC,FAK,CLOVER WAY,L,2,6,,
NCC,FAK,CLOVER WAY,L,3,6,,
NCC,FAK,CLOVER WAY,L,4,6,,
NCC,FAK,RIVER VIEW CLOSE,L,5,6,593101,329643
NCC,FAK,RIVER VIEW CLOSE,L,7,6,593101,329643
NCC,FAK,RIVER VIEW CLOSE,L,6,6,593101,329643
NCC,BRD,BECCLES ROAD,L,70,10,650713,303711
NCC,LOD,BECK WAY,L,3,6,635942,298927
NCC,MUE,FRAZER CRESCENT,L,1,6,,
NCC,AYL,HENRY PAGE ROAD,L,14,8,618764,326282
NCC,MUE,FRAZER CRESCENT,L,2,6,,
NCC,MUE,FRAZER CRESCENT,L,3,6,,
NCC,MUE,WATSON-WATT GARDEN,L,3,6,,
NCC,MUE,WATSON-WATT GARDEN,L,2,6,,
NCC,MUE,WATSON-WATT GARDEN,L,1,6,,
NCC,MUE,WATSON-WATT GARDEN,L,4,6,,
NCC,ATT,BLENHEIM DRIVE,L,3,6,605368,294617
NCC,ROY,LINDEN GROVE,L,1,6,611331,280816
NCC,ROY,LINDEN GROVE,L,2,5,611331,280816
NCC,ROY,LINDEN GROVE,L,3,6,611331,280816
NCC,YAN,JELLICOE ROAD,L,1,10,652757,309858
NCC,YAN,JELLICOE ROAD,L,3,10,652757,309858
NCC,YAN,JELLICOE ROAD,L,4,10,652757,309858
NCC,YAN,JELLICOE ROAD,L,5,10,652757,309858
NCC,YAN,JELLICOE ROAD,L,6,10,652757,309858
NCC,YAN,JELLICOE ROAD,L,7,10,652757,309858
