CentralAssetID,StreetName,,Asset Location Details,Road USRN,Easting,Northing,ASSET TYPE,Lantern Model,Lamp Type,Wattage,Number of lanterns,Number of Lamps
L0901001,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - O/S 73   - ST4- (AR11),21700626,524536.2,179689.1,LC05,12,SONE,70,1,1
L0901002,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 53 ON CI   - ST4- (,21700626,524515.9,179682.7,LC05,12,SONE,70,1,1
L0901003,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 54 ON CI   - ST4- (,21700626,524510.2,179679.3,LC05,12,SONE,70,1,1
L0901004,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - FLANK OF 61   - ST4- (A,21700626,524487.6,179685.3,LC05,12,SONE,70,1,1
L0901005,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 56   - ST4- (AR11),21700626,524490.1,179650.3,LC05,12,SONE,70,1,1
L0901006,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 45   - ST4- (AR11),21700626,524505.7,179627,LC05,12,SONE,70,1,1
L0901007,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 36 ON CI   - ST4- (,21700626,524565.9,179635.3,LC05,12,SONE,70,1,1
L0901008,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 35 ON CI   - ST4- (AR11),21700626,524545.2,179627,LC05,12,SONE,70,1,1
L0901009,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 59   - ST4- (AR11),21700626,524539.7,179624,LC05,12,SONE,70,1,1
L0901010,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 38   - ST4- (AR11),21700626,524520.9,179596,LC05,12,SONE,70,1,1
L1101001,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 27   - ST5- (AR13),21700626,524535.7,179568.6,LC04,12,SONE,70,1,1
L1101002,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - FLK 41 ABBOTSBURY ROAD,21700626,524597.6,179579.3,LC04,12,SONE,70,1,1
L1101003,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 16 - ON CENTRE GARD,21700626,524574.7,179571.5,LC04,12,SONE,70,1,1
L1101004,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 18 - ON CENTRE GARDENS   - ST5- (AR13),21700626,524569.2,179568.8,LC04,12,SONE,70,1,1
L1101005,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 20   - ST5- (AR13),21700626,524551.5,179540,LC04,12,SONE,70,1,1
L1101006,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 9   - ST5- (AR13),21700626,524566,179513.7,LC04,12,SONE,70,1,1
L1101007,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - FLANK 25 ABBOTSBURY ROA,21700626,524627,179523.7,LC04,12,SONE,70,1,1
L1101008,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 15 - ON CENTRE GARD,21700626,524604.4,179516.7,LC04,12,SONE,70,1,1
L1101009,ABBOTSBURY CLOSE,,ABBOTSBURY CLOSE - OPP 13 - ON CENTRE GARD,21700626,524599.3,179513.9,LC04,12,SONE,70,1,1
