asset_type,easting,northing,lat,lon
bollard,389041,384509,53.357345000000002,-2.166119300000000
bollard,389035,384512,53.357371999999998,-2.166209500000000
bollard,387863,385616,53.367269000000000,-2.183861200000000
bollard,387866,385611,53.367224000000000,-2.183815900000000
bollard,388081,385277,53.364227000000000,-2.180572200000000
bollard,388076,385278,53.364235999999998,-2.180647300000000
bollard,388835,387969,53.388441000000000,-2.169337800000000
bollard,388831,387966,53.388413999999997,-2.169397900000000
bollard,388842,387992,53.388648000000003,-2.169233400000000
bollard,387452,386865,53.378486000000002,-2.190087800000000
bollard,387445,386860,53.378441000000002,-2.190192800000000
bollard,387424,386843,53.378287999999998,-2.190507800000000
bollard,387419,386838,53.378242999999998,-2.190582800000000
bollard,388830,387954,53.388306000000000,-2.169412500000000
bollard,388832,387952,53.388288000000003,-2.169382300000000
bollard,387852,388364,53.391969000000003,-2.184133200000000
bollard,387863,388277,53.391188000000000,-2.183964400000000
bollard,387864,388272,53.391143000000000,-2.183949200000000
bollard,387860,388314,53.391520000000000,-2.184010900000000
bollard,387872,388342,53.391772000000003,-2.183831600000000
bollard,387869,388346,53.391807999999997,-2.183876800000000
bollard,387865,388345,53.391798999999999,-2.183937000000000
bollard,387621,389182,53.399315999999999,-2.187639100000000
bollard,387619,389185,53.399343000000002,-2.187669300000000
bollard,388100,387805,53.386949999999999,-2.180382800000000
bollard,388101,387813,53.387022000000002,-2.180368000000000
bollard,386281,385535,53.366501999999997,-2.207632100000000
bollard,386287,385534,53.366492999999998,-2.207541900000000
bollard,386305,385523,53.366394999999997,-2.207271000000000
bollard,386305,385521,53.366377000000000,-2.207270900000000
bollard,386299,385550,53.366636999999997,-2.207362300000000
bollard,386300,385553,53.366664000000000,-2.207347400000000
bollard,386314,385539,53.366539000000003,-2.207136400000000
bollard,386317,385539,53.366539000000003,-2.207091300000000
bollard,386969,386902,53.378807000000002,-2.197349800000000
bollard,386973,386905,53.378833999999998,-2.197289800000000
bollard,389416,386184,53.372408000000000,-2.160541700000000
bollard,389413,386184,53.372408000000000,-2.160586800000000
bollard,386806,388985,53.397525999999999,-2.199887900000000
bollard,386807,388981,53.397489999999998,-2.199872700000000
bollard,388819,389379,53.401114000000000,-2.169628900000000
bollard,388823,389386,53.401176999999997,-2.169569000000000
bollard,389202,389547,53.402631999999997,-2.163874300000000
bollard,389254,389573,53.402867000000001,-2.163093100000000
bollard,389258,389575,53.402884999999998,-2.163033000000000
bollard,386182,387678,53.385762000000000,-2.209214400000000
bollard,386179,387679,53.385770999999998,-2.209259500000000
bollard,387177,386645,53.376502000000002,-2.194212600000000
bollard,387181,386642,53.376474999999999,-2.194152400000000
bollard,385967,387707,53.386017000000002,-2.212448100000000
bollard,385971,387705,53.385998999999998,-2.212387900000000
bollard,386543,388769,53.395578000000000,-2.203833800000000
bollard,386547,388766,53.395550999999998,-2.203773500000000
bollard,386551,388770,53.395586999999999,-2.203713500000000
bollard,386548,388772,53.395605000000003,-2.203758700000000
bollard,387760,387873,53.387554000000002,-2.185497300000000
bollard,387761,387878,53.387599000000002,-2.185482500000000
bollard,388081,387800,53.386904999999999,-2.180668200000000
bollard,388075,387802,53.386923000000003,-2.180758500000000
bollard,386762,388370,53.391997000000003,-2.200523600000000
bollard,386759,388366,53.391961000000002,-2.200568500000000
bollard,387629,389218,53.399639999999998,-2.187520200000000
bollard,387632,389215,53.399613000000002,-2.187474900000000
bollard,387616,389239,53.399828999999997,-2.187716500000000
bollard,387617,389244,53.399873999999997,-2.187701700000000
bollard,387600,389226,53.399711000000003,-2.187956600000000
bollard,387598,389227,53.399720000000002,-2.187986800000000
bollard,387582,389232,53.399765000000002,-2.188227600000000
bollard,387579,389234,53.399782999999999,-2.188272800000000
bollard,387237,389321,53.400556999999999,-2.193419900000000
bollard,387232,389325,53.400593000000001,-2.193495200000000
bollard,388240,389206,53.399546999999998,-2.178330600000000
bollard,388247,389207,53.399555999999997,-2.178225300000000
bollard,386132,386270,53.373105000000002,-2.209903800000000
bollard,386128,386270,53.373103999999998,-2.209963900000000
bollard,386022,386269,53.373092999999997,-2.211557100000000
bollard,386014,386270,53.373100999999998,-2.211677400000000
bollard,388934,388028,53.388973000000000,-2.167851400000000
bollard,388936,388029,53.388981999999999,-2.167821400000000
bollard,389304,389567,53.402813999999999,-2.162340900000000
bollard,389308,389569,53.402831999999997,-2.162280800000000
bollard,386784,389065,53.398243999999998,-2.200222100000000
bollard,386787,389069,53.398280000000000,-2.200177200000000
bollard,385640,388581,53.393864000000001,-2.217404600000000
bollard,385642,388583,53.393881999999998,-2.217374600000000
bollard,389872,389427,53.401567000000000,-2.153793200000000
bollard,389878,389402,53.401342999999997,-2.153702200000000
bollard,389892,389406,53.401378999999999,-2.153491700000000
bollard,389873,389422,53.401522000000000,-2.153778000000000
bollard,385031,388372,53.391967999999999,-2.226552400000000
bollard,385032,388355,53.391815000000001,-2.226536500000000
bollard,385035,388984,53.397469000000001,-2.226521500000000
bollard,385038,388987,53.397495999999997,-2.226476500000000
bollard,386175,385513,53.366301000000000,-2.209224100000000
bollard,386233,385465,53.365870999999999,-2.208350400000000
bollard,386838,384673,53.358767999999998,-2.199225400000000
bollard,386818,384742,53.359388000000003,-2.199528800000000
bollard,387565,386984,53.379558000000003,-2.188393900000000
bollard,387598,387035,53.380018000000000,-2.187899900000000
bollard,387832,387109,53.380687999999999,-2.184385100000000
bollard,387825,387104,53.380642999999999,-2.184490100000000
bollard,387957,387244,53.381905000000003,-2.182511200000000
bollard,387953,387240,53.381869000000002,-2.182571200000000
bollard,388102,387784,53.386761999999997,-2.180351900000000
bollard,388103,387774,53.386671999999997,-2.180336500000000
bollard,388095,387477,53.384002000000002,-2.180445500000000
bollard,388096,387481,53.384037999999997,-2.180430600000000
bollard,389739,389382,53.401159999999997,-2.155792100000000
bollard,389746,389376,53.401105999999999,-2.155686600000000
bollard,389748,389383,53.401169000000003,-2.155656800000000
bollard,389855,389408,53.401395999999998,-2.154048300000000
bollard,389859,389409,53.401404999999997,-2.153988200000000
bollard,389738,389375,53.401097000000000,-2.155806900000000
bollard,389739,389373,53.401079000000003,-2.155791800000000
bollard,385807,389107,53.398595999999998,-2.214917200000000
bollard,385808,389103,53.398560000000003,-2.214901900000000
bollard,385791,389165,53.399116999999997,-2.215160400000000
bollard,385792,389160,53.399071999999997,-2.215145100000000
bollard,388785,389371,53.401041999999997,-2.170139900000000
bollard,388778,389372,53.401049999999998,-2.170245300000000
bollard,388838,389363,53.400970999999998,-2.169342500000000
bollard,388854,389359,53.400934999999997,-2.169101800000000
bollard,389268,389545,53.402616000000002,-2.162881600000000
bollard,389266,389544,53.402607000000003,-2.162911600000000
bollard,389222,389427,53.401553999999997,-2.163569400000000
bollard,389224,389430,53.401581000000000,-2.163539400000000
bollard,385380,388148,53.389964999999997,-2.221294100000000
bollard,385382,388150,53.389983000000001,-2.221264100000000
bollard,389723,389884,53.405672000000003,-2.156049300000000
bollard,389721,389899,53.405807000000003,-2.156079800000000
bollard,389704,389889,53.405717000000003,-2.156335200000000
bollard,388059,389926,53.406013999999999,-2.181080200000000
bollard,388061,389922,53.405977999999998,-2.181050000000000
bollard,389822,388204,53.390573000000003,-2.154505300000000
bollard,389829,388201,53.390546000000001,-2.154400000000000
bollard,387427,386860,53.378441000000002,-2.190463400000000
bollard,387422,386865,53.378484999999998,-2.190538800000000
bollard,388180,386648,53.376551999999997,-2.179136200000000
bollard,387843,385635,53.367438999999997,-2.184162500000000
bollard,387842,385638,53.367466000000000,-2.184177600000000
bollard,388746,385059,53.362282000000000,-2.170571300000000
bollard,388748,385060,53.362290999999999,-2.170541300000000
bollard,388914,385178,53.363354999999999,-2.168051100000000
bollard,388917,385180,53.363373000000003,-2.168006100000000
bollard,388928,385202,53.363571000000000,-2.167841600000000
bollard,388928,385204,53.363588999999997,-2.167841600000000
bollard,388936,385178,53.363356000000003,-2.167720500000000
bollard,388934,385180,53.363374000000000,-2.167750600000000
bollard,389241,389646,53.403523000000000,-2.163291200000000
bollard,389243,389639,53.403460000000003,-2.163260800000000
bollard,389269,389578,53.402912000000001,-2.162867700000000
bollard,389307,389539,53.402563000000001,-2.162294800000000
bollard,389312,389534,53.402518000000001,-2.162219400000000
bollard,388906,388469,53.392937000000003,-2.168288100000000
bollard,388906,388473,53.392972000000000,-2.168288200000000
bollard,386545,386368,53.373995999999998,-2.203700600000000
bollard,386549,386370,53.374014000000003,-2.203640500000000
bollard,386344,386274,53.373145999999998,-2.206717600000000
bollard,386340,386274,53.373145999999998,-2.206777700000000
bollard,386268,386268,53.373089999999998,-2.207859600000000
bollard,386259,386271,53.373117000000001,-2.207995000000000
bollard,386283,386270,53.373108999999999,-2.207634300000000
bollard,386291,386272,53.373126999999997,-2.207514100000000
bollard,387179,386626,53.376331000000000,-2.194181800000000
bollard,387177,386625,53.376322000000002,-2.194211800000000
bollard,385632,388559,53.393666000000003,-2.217523900000000
bollard,385634,388555,53.393630000000002,-2.217493600000000
bollard,385791,388051,53.389104000000003,-2.215109900000000
bollard,385793,388046,53.389059000000003,-2.215079600000000
bollard,385922,387735,53.386266999999997,-2.213126000000000
bollard,385916,387740,53.386311999999997,-2.213216400000000
bollard,385571,384983,53.361521000000003,-2.218276500000000
bollard,385573,384985,53.361539000000000,-2.218246600000000
bollard,385485,384677,53.358767999999998,-2.219554600000000
bollard,385491,384672,53.358724000000002,-2.219464200000000
bollard,385489,384672,53.358724000000002,-2.219494300000000
bollard,385687,386268,53.373075000000000,-2.216592100000000
bollard,385686,386280,53.373182000000000,-2.216607700000000
bollard,385682,386320,53.373542000000000,-2.216669700000000
bollard,385689,386215,53.372598000000004,-2.216559700000000
bollard,385689,386209,53.372543999999998,-2.216559400000000
bollard,385620,386789,53.377755999999998,-2.217623100000000
