X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
356088.339968971,410712.709977206,1,3009,44103161,Sterndale Avenue,000003,0003,L,O/S 12/14,6,BE
356111.869970089,410742.859978637,2,3009,44103161,Sterndale Avenue,000004,0004,L,O/S 21/23,6,BE
356292.719978679,410741.259978561,3,3009,44103161,Sterndale Avenue,000009,0010,L,O/S 52,6,BE
356233.259975854,410844.969983486,4,2850,44102994,Sheldon Avenue,000013,0005,L,O/S 16,6,BE
356261.199977182,410867.999984581,5,2850,44102994,Sheldon Avenue,000014,0006,L,O/S 33/35,6,BE
356290.249978562,410871.069984727,6,2850,44102994,Sheldon Avenue,000015,0007,L,O/S 24,6,BE
356338.289980844,410892.149985729,7,2850,44102994,Sheldon Avenue,000017,0009,L,O/S 34/36,6,BE
356361.079981926,410911.74998666,8,2850,44102994,Sheldon Avenue,000018,0010,L,O/S 51,6,BE
356395.859983577,410917.449986929,9,2850,44102994,Sheldon Avenue,000019,0011,L,O/S 46,6,BE
356421.349984788,410929.829987518,10,2850,44102994,Sheldon Avenue,000020,0012,L,O/S 50,6,BE
356438.989985626,410938.159987913,11,2850,44102994,Sheldon Avenue,000021,0013,L,O/S 54,5,BE
360806.289993062,409339.790011995,12,3173,44103334,Toddington Lane,000025,0001,L,O/S DERWENT,6,BE
360505.349978768,409597.040024213,13,2650,44102786,Riley Lane,000029,0003,L,JCN MEADOW PIT LANE,10,BE
361308.120016897,408157.879955858,14,1388,44106083,Haigh Road,000034,0001,L,OPP SCOT LANE,10,BE
361297.070016373,408180.189956916,15,1388,44106083,Haigh Road,000035,0002,L,REFER OSP,10,BE
360504.309978719,409027.419997158,16,3584,44103769,Copperas Lane,000074,0004,L,O/S VICARAGE,6,LS
360258.339967036,408923.799992237,17,3584,44103769,Copperas Lane,000075,0005,L,S/O COPPERAS COTTAGES,5,LS
360040.039956667,408880.399990175,18,3584,44103769,Copperas Lane,000076,0006,L,OPP NEW ROAD,5,LS
359262.610019741,409594.180024078,19,2800,44102943,School Lane,000079,0004,L,O/S RED ROCK LODGE,8,LS
360884.439996773,408736.279983331,20,2957,44103105,St Davids Crescent,000082,0001,L,O/S 99 HAIGH RD,8,BE
360860.539995639,408712.999982225,21,2957,44103105,St Davids Crescent,000083,0002,L,O/S 5/11 (FLATS),8,BE
360830.879994229,408696.699981449,22,2957,44103105,St Davids Crescent,000084,0003,L,O/S 10/12,8,BE
360814.089993432,408666.429980012,23,2957,44103105,St Davids Crescent,000085,0004,L,OPP 18,8,BE
360786.0299921,408652.459979348,24,2957,44103105,St Davids Crescent,000086,0005,L,O/S 24,8,BE
360728.759989379,408475.129970927,25,2957,44103105,St Davids Crescent,000087,H1097,L,O/S 73/75,6,HS
360762.709990992,408629.419978254,26,2957,44103105,St Davids Crescent,000088,0006,L,O/S 39/41,8,BE
360742.859990049,408605.889977137,27,2957,44103105,St Davids Crescent,000089,0007,L,O/S 40,8,BE
360725.949989246,408577.819975803,28,2957,44103105,St Davids Crescent,000090,0008,L,O/S 46/48,8,BE
360711.979988582,408550.129974488,29,2957,44103105,St Davids Crescent,000091,0009,L,O/S 54,8,BE
360702.049988111,408518.629972992,30,2957,44103105,St Davids Crescent,000092,0010,L,O/S 58/64 (FLATS),8,BE
360696.659987855,408490.449971654,31,2957,44103105,St Davids Crescent,000093,0011,L,O/S 66/72 (FLATS),8,BE
360695.309987791,408463.239970362,32,2957,44103105,St Davids Crescent,000094,0012,L,O/S 74/80,8,BE
360696.419987843,408430.399968801,33,2957,44103105,St Davids Crescent,000096,0013,L,O/S 84/86,8,BE
360701.439988081,408401.599967433,34,2957,44103105,St Davids Crescent,000097,0014,L,O/S 90/92,8,BE
360710.139988495,408373.039966077,35,2957,44103105,St Davids Crescent,000098,0015,L,O/S 96/98,8,BE
360737.469989793,408393.349967042,36,2957,44103105,St Davids Crescent,000099,H0225,L,O/S 93/95,5,HS
360722.639989088,408346.079964796,37,2957,44103105,St Davids Crescent,000100,0016,L,O/S 102/104,8,BE
360747.399990264,408324.149963755,38,2957,44103105,St Davids Crescent,000101,0017,L,O/S 107/109,8,BE
360758.6699908,408295.229962381,39,2957,44103105,St Davids Crescent,000102,0018,L,O/S 114/116,8,BE
360787.219992156,408276.719961502,40,2957,44103105,St Davids Crescent,000103,0019,L,O/S 123,8,BE
360799.969992762,408246.329960059,41,2957,44103105,St Davids Crescent,000104,0020,L,O/S 126/132 (FLATS),8,BE
360825.949993996,408229.419959255,42,2957,44103105,St Davids Crescent,000105,0021,L,O/S 125/127,8,BE
360839.549994642,408199.389957828,43,2957,44103105,St Davids Crescent,000106,0022,L,O/S 146/148,8,BE
360868.839996032,408179.169956869,44,2957,44103105,St Davids Crescent,000107,0023,L,OPP 154,8,BE
360886.089996852,408158.639955893,45,2957,44103105,St Davids Crescent,000108,0024,L,O/S 156,8,BE
360899.93999751,408127.389954409,46,2957,44103105,St Davids Crescent,000109,0025,L,JCN HOLLY RD,8,BE
360913.509998155,408541.609974084,47,2958,44103106,St Elizabeths Road,000111,0002,L,O/S 8/10,5,BE
360893.779997217,408510.609972611,48,2958,44103106,St Elizabeths Road,000112,0003,L,OPP ST JOHNS RD,5,BE
360868.649996024,408486.829971481,49,2958,44103106,St Elizabeths Road,000113,0004,L,O/S 16/18,5,BE
360876.249996385,408419.799968299,50,2958,44103106,St Elizabeths Road,000115,0006,L,O/S 40/42,5,BE
360900.269997526,408391.119966935,51,2958,44103106,St Elizabeths Road,000116,0007,L,O/S 50/52,5,BE
360930.04999894,408368.209965847,52,2958,44103106,St Elizabeths Road,000117,0008,L,O/S 45/51,5,BE
360946.349999715,408337.199964374,53,2958,44103106,St Elizabeths Road,000118,0009,L,O/S 70,5,BE
360969.63000082,408309.379963053,54,2958,44103106,St Elizabeths Road,000119,0010,L,S/O 76,5,BE
360996.070002076,408289.589962114,55,2958,44103106,St Elizabeths Road,000120,0011,L,O/S 78/80,5,BE
361015.190002984,408255.029960472,56,2958,44103106,St Elizabeths Road,000121,0012,L,JCN HOLLY RD,5,BE
360851.489995209,408683.119980805,57,4247,44103121,St Marys Road,000122,0001,L,S/O 7/9 13/15 ST DAVIDS CRES,5,BE
360869.749996076,408650.639979262,58,4247,44103121,St Marys Road,000123,0002,L,O/S 4/6,6,BE
360903.209997665,408630.419978302,59,4247,44103121,St Marys Road,000124,0003,L,O/S 11/13,5,BE
360922.68999859,408597.579976741,60,4247,44103121,St Marys Road,000125,0004,L,O/S 20,5,BE
360952.890000025,408606.769977178,61,4247,44103121,St Marys Road,000126,0005,L,O/S 21/23,5,BE
360954.990000125,408579.599975888,62,4247,44103121,St Marys Road,000127,0006,L,OPP ST ELIZABETHS RD,5,BE
360981.610001389,408576.839975758,63,4247,44103121,St Marys Road,000128,0007,L,O/S 29/31,5,BE
360975.020001076,408544.879974239,64,4247,44103121,St Marys Road,000129,0008,L,OPP 33/35,5,BE
360998.920002211,408519.759973045,65,4247,44103121,St Marys Road,000130,0009,L,OPP 39,5,BE
361028.210003602,408500.029972108,66,4247,44103121,St Marys Road,000133,0010,L,O/S 53,6,BE
361047.240004506,408472.519970803,67,4247,44103121,St Marys Road,000134,0011,L,O/S 62,5,BE
361077.200005929,408418.759968249,68,4247,44103121,St Marys Road,000136,H0338,L,O/S 77/79,5,HS
361054.070004831,408404.929967592,69,4247,44103121,St Marys Road,000137,0013,L,O/S 85,5,BE
361037.890004062,408370.129965939,70,4247,44103121,St Marys Road,000138,0014,L,O/S 93/95,5,BE
361020.000003212,408344.639964728,71,4247,44103121,St Marys Road,000139,0015,L,OPP 76/78,5,BE
360990.220001798,408319.389963528,72,4247,44103121,St Marys Road,000140,0016,L,O/S 86/88,5,BE
360973.680001012,408291.329962196,73,4247,44103121,St Marys Road,000141,0017,L,O/S 113,5,BE
360942.789999546,408272.209961288,74,4247,44103121,St Marys Road,000142,0018,L,O/S 98,5,BE
360920.979998509,408242.309959868,75,4247,44103121,St Marys Road,000143,0019,L,O/S 129/131,5,BE
360889.239997001,408222.209958913,76,4247,44103121,St Marys Road,000144,0020,L,O/S 114/116,6,BE
360867.789995983,408202.239957964,77,4247,44103121,St Marys Road,000145,0021,L,REFER OSP,5,BE
360981.700001393,408527.089973394,78,2971,44103120,St Marys Close,000146,0001,L,O/S 1,6,BE
355574.470044564,411287.120004488,79,1136,44101214,Fairhurst Avenue,000148,0001,L,S/O 319 PRESTON RD,6,BE
355624.71004695,411283.930004336,80,1136,44101214,Fairhurst Avenue,000150,0003,L,O/S 6,6,BE
355705.229950774,411244.550002467,81,1136,44101214,Fairhurst Avenue,000154,0006,L,O/S 41/43,6,BE
355714.069951194,411199.270000316,82,1136,44101214,Fairhurst Avenue,000156,0008,L,S/O 59,6,BE
361074.400005796,408298.469962535,83,1585,44101678,Holly Road,000157,0005,L,OPP BRAYFORD DVE,8,BE
360957.580000248,408170.909956476,84,1585,44101678,Holly Road,000162,0010,L,O/S 75/77,8,BE
360921.82999855,408122.249954166,85,1585,44101678,Holly Road,000164,0012,L,OPP ST DAVIDS CRESCENT,8,BE
361971.540048408,405366.540023277,86,2035,44102148,Makinson Avenue,000173,0002,L,O/S 3/5,5,BE
361998.990049712,405369.970023438,87,2035,44102148,Makinson Avenue,000176,0003,L,O/S 13/15,6,BE
362079.989953559,405376.590023752,88,2035,44102148,Makinson Avenue,000179,0006,L,O/S 22/24,6,BE
